keyword;minimal_abbreviation;keyword_type
CONTEXT-HELP-ID;;Attribute
CONTROL-BOX;;Attribute
CONTROL-FRAME;;Widget
CONTROL-NAME;;Attribute
CONTROLS;;Attribute
CONVERT-3D-COLORS;;Attribute
CONVERT-TO-OFFSET;;Method
COPY-DATASET;;Method
COPY-SAX-ATTRIBUTES;;Method
COPY-TEMP-TABLE;;Method
COVERAGE;;Attribute
CPCASE;;Attribute
CPCOLL;;Attribute
CPINTERNAL;;Attribute
CPLOG;;Attribute
CPPRINT;;Attribute
CPRCODEIN;;Attribute
CPRCODEOUT;;Attribute
CPSTREAM;;Attribute
CPTERM;;Attribute
CRC-VALUE;;Attribute
CREATE-LIKE;;Method
CREATE-LIKE-SEQUENTIAL;;Method
CREATE-NODE;;Method
CREATE-NODE-NAMESPACE;;Method
CREATE-RESULT-LIST-ENTRY;;Method
CURRENT-CHANGED;;Attribute
CURRENT-COLUMN;;Attribute
CURRENT-ENVIRONMENT;;Attribute
CURRENT-ITERATION;;Attribute
CURRENT-QUERY;;Method
CURRENT-REQUEST-INFO;;Attribute
CURRENT-RESPONSE-INFO;;Attribute
CURRENT-RESULT-ROW;;Attribute
CURRENT-ROW-MODIFIED;;Attribute
CURRENT-WINDOW;;Attribute
CURSOR-CHAR;;Attribute
CURSOR-LINE;;Attribute
CURSOR-OFFSET;;Attribute
DATA-ENTRY-RETURN;;Attribute
DATASET;;Attribute
DATASET;;DataType
DATASET-HANDLE;;DataType
DATA-SOURCE;;Attribute
DATA-SOURCE-COMPLETE-MAP;;Attribute
DATA-SOURCE-MODIFIED;;Attribute
DATA-SOURCE-ROWID;;Attribute
DATA-TYPE;;Attribute
DATE;;DataType
DATE-FORMAT;;Attribute
DATETIME;;DataType
DATETIME-TZ;;DataType
DB-CONTEXT;;Attribute
DB-LIST;;Attribute
DBNAME;;Attribute
DB-REFERENCES;;Attribute
DCOLOR;;Attribute
DDE-ERROR;;Attribute
DDE-ID;;Attribute
DDE-ITEM;;Attribute
DDE-NAME;;Attribute
DDE-TOPIC;;Attribute
DEBLANK;;Attribute
DEBUG;;Method
DEBUG-ALERT;;Attribute
DECIMAL;DEC;DataType
DECIMALS;;Attribute
DECLARE-NAMESPACE;;Method
DEFAULT;;Attribute
DEFAULT-BUFFER-HANDLE;;Attribute
DEFAULT-BUTTON;;Attribute
DEFAULT-COMMIT;;Attribute
DEFAULT-STRING;;Attribute
DEFAULT-VALUE;;Attribute
DELETE;;Method
DELETE-CHAR;;Method
DELETE-CURRENT-ROW;;Method
DELETE-HEADER-ENTRY;;Method
DELETE-LINE;;Method
DELETE-NODE;;Method
DELETE-RESULT-LIST-ENTRY;;Method
DELETE-SELECTED-ROW;;Method
DELETE-SELECTED-ROWS;;Method
DELIMITER;;Attribute
DESCRIPTION;;Attribute
DESELECT-FOCUSED-ROW;;Method
DESELECT-ROWS;;Method
DESELECT-SELECTED-ROW;;Method
DETACH-DATA-SOURCE;;Method
DIALOG-BOX;;Widget
DIRECTORY;;Attribute
DISABLE;;Method
DISABLE-AUTO-ZAP;;Attribute
DISABLE-CONNECTIONS;;Method
DISABLE-DUMP-TRIGGERS;;Method
DISABLE-LOAD-TRIGGERS;;Method
DISCONNECT;;Method
DISPLAY-MESSAGE;;Method
DISPLAY-TIMEZONE;;Attribute
DISPLAY-TYPE;;Attribute
DOMAIN-DESCRIPTION;;Attribute
DOMAIN-NAME;;Attribute
DOMAIN-TYPE;;Attribute
DOUBLE;;DataType
DOWN;;Attribute
DRAG-ENABLED;;Attribute
DROP-TARGET;;Attribute
DUMP-LOGGING-NOW;;Method
DYNAMIC;;Attribute
EDGE-CHARS;;Attribute
EDGE-PIXELS;;Attribute
EDIT-CAN-PASTE;;Attribute
EDIT-CAN-UNDO;;Attribute
